id,pubmed_id,tf_input,tf_standard,tf_uniprot,gene_input,gene_ensg,cellline,assay,complex,created_at,ai_flags,ai_notes,ai_reviewed
1,18776923,BRCA1,BRCA1,P38398,HSPA5,ENSG00000044574,"CaOV-3, SKOV-3, MDA-MB-231, MCF-7, T47D","WB, RT-PCR,siRNA knockdown, Overexpression, Luciferase reporter",,,,,0
2,18776923,BRCA1,BRCA1,P38398,HSP90B1,ENSG00000166598,"CaOV-3, SKOV-3, MDA-MB-231","WB, siRNA KD",,,,,0
3,18776923,BRCA1,BRCA1,P38398,DDIT3,ENSG00000175197,"CaOV-3, SKOV-3, MDA-MB-231","WB, siRNA KD",,,,,0
4,16488890,USF1,USF1,P22415,P4HA1,ENSG00000122884,HeLa cells,"ChIP, RT-PCR, luciferase reporter assay,",,,,,0
5,16488890,USF2,USF2,Q15853,P4HA1,ENSG00000122884,HeLa cells,"luciferase reporter assay, ChIP, siRNA Transfection, RT-PCR",,,,,0
6,15908194,CEBPZ,CEBPZ,Q03701,SOX9,ENSG00000125398,HTB94,"EMSA, ChIP,  Luciferase reporter assay",,,,,0
7,15908194,SOX9,SOX9,P48436,COL2A1,ENSG00000139219,-,citation,,,,,0
8,15908194,SOX5,SOX5,P35711,COL2A1,ENSG00000139219,-,citation,,,,,0
9,15908194,SOX6,SOX6,P35712,COL2A1,ENSG00000139219,-,citation,,,,,0
10,15908194,SOX9,SOX9,P48436,COL11A2,ENSG00000204248,-,citation,,,,,0
11,15908194,SOX9,SOX9,P48436,ACAN,ENSG00000157766,-,citation,,,,,0
12,15908194,SOX9,SOX9,P48436,COL9A1,ENSG00000112280,-,citation,,,,,0
13,15908194,NFKB1,NFKB1,P19838,SOX9,ENSG00000125398,-,citation,,,,,0
14,15908194,CEBPZ,CEBPZ,Q03701,TOP2A,ENSG00000131747,-,citation,,,,,0
15,15908194,CEBPZ,CEBPZ,Q03701,TK1,ENSG00000167900,-,citation,,,,,0
16,15908194,CEBPZ,CEBPZ,Q03701,E2F1,ENSG00000101412,-,citation,,,,,0
17,15908194,CEBPZ,CEBPZ,Q03701,CDC25C,ENSG00000158402,,citation,,,,,0
