NFYA	ENSG00000118971
RB1	ENSG00000170345
STAT3	ENSG00000111537
USF1	ENSG00000198363
YY1	ENSG00000094916
RUNX3	ENSG00000100348
RUNX3	ENSG00000111653
EP300	ENSG00000136997
STAT1	ENSG00000087088
ATF2	ENSG00000115525
STAT3	ENSG00000087095
EP300	ENSG00000059377
USF1	ENSG00000173039
PAX8	ENSG00000101412
EZH2	ENSG00000136997
NRF1	ENSG00000181019
STAT5A	ENSG00000185591
ESRRA	ENSG00000175745
EGR1	ENSG00000127948
JUND	ENSG00000136244
RB1	ENSG00000017427
USF2	ENSG00000111679
BRCA1	ENSG00000170345
EZH2	ENSG00000173531
BRCA1	ENSG00000115415
ELK1	ENSG00000170345
PAX5	ENSG00000124762
EP300	ENSG00000143799
ATF2	ENSG00000095015
NFYB	ENSG00000170345
CTCF	ENSG00000163635
MYB	ENSG00000164136
ARNT	ENSG00000091831
SRF	ENSG00000108424
E2F4	ENSG00000134057
BRCA1	ENSG00000196754
STAT5A	ENSG00000171552
PAX5	ENSG00000115641
KLF5	ENSG00000160255
MXI1	ENSG00000136997
USF2	ENSG00000137801
CTCF	ENSG00000012048
E2F8	ENSG00000110092
STAT3	ENSG00000185338
BRCA1	ENSG00000017427
USF1	ENSG00000168066
CTCF	ENSG00000108576
USF1	ENSG00000105388
NFATC1	ENSG00000130649
RB1	ENSG00000039068
RUNX3	ENSG00000213918
EGR1	ENSG00000118513
E2F4	ENSG00000172534
BRCA1	ENSG00000169016
ZNF143	ENSG00000177156
REST	ENSG00000157540
ARNT	ENSG00000269858
KLF5	ENSG00000148400
NRF1	ENSG00000117118
ETS1	ENSG00000113525
PAX8	ENSG00000141510
STAT1	ENSG00000013364
USF1	ENSG00000013364
STAT1	ENSG00000140968
ETS1	ENSG00000137752
CEBPB	ENSG00000100219
ETV6	ENSG00000124762
ZNF24	ENSG00000110092
YBX1	ENSG00000134057
EGR1	ENSG00000142168
EGR1	ENSG00000164056
STAT1	ENSG00000184557
CEBPB	ENSG00000198900
NFIC	ENSG00000123415
BRCA1	ENSG00000135679
STAT3	ENSG00000121022
YBX1	ENSG00000145604
ARNT	ENSG00000106546
STAT3	ENSG00000170345
HDAC2	ENSG00000120868
PKNOX1	ENSG00000143995
CEBPZ	ENSG00000076242
RB1	ENSG00000143514
HSF1	ENSG00000151929
NFYA	ENSG00000114026
STAT3	ENSG00000100644
TBP	ENSG00000136244
YBX1	ENSG00000172613
ATF2	ENSG00000143507
TAF1	ENSG00000198799
ARNT	ENSG00000123374
ETS1	ENSG00000158636
MEF2A	ENSG00000166484
ATF2	ENSG00000173039
STAT1	ENSG00000140464
STAT3	ENSG00000057657
BRCA1	ENSG00000091831
E2F4	ENSG00000257923
STAT3	ENSG00000131016
CTCF	ENSG00000164754
STAT3	ENSG00000100804
STAT3	ENSG00000125347
RUNX3	ENSG00000165806
EGR1	ENSG00000121858
CEBPB	ENSG00000002822
ETS1	ENSG00000087088
EGR1	ENSG00000148344
TRIM22	ENSG00000173039
YY1	ENSG00000198799
YBX1	ENSG00000053900
BRCA1	ENSG00000122566
ATF2	ENSG00000105855
JUND	ENSG00000110092
REST	ENSG00000258947
MAX	ENSG00000164362
STAT3	ENSG00000164362
USF2	ENSG00000134982
NFYA	ENSG00000134324
CEBPZ	ENSG00000125398
USF2	ENSG00000198363
FOXK2	ENSG00000169375
STAT5A	ENSG00000113916
CREM	ENSG00000160211
BRCA1	ENSG00000134057
EP300	ENSG00000136244
CHD4	ENSG00000112130
BRCA1	ENSG00000116717
BRCA1	ENSG00000170581
CEBPB	ENSG00000113525
STAT3	ENSG00000135446
HSF1	ENSG00000025423
NFE2	ENSG00000100983
STAT3	ENSG00000171791
ETS1	ENSG00000102755
NFYA	ENSG00000165702
BCL3	ENSG00000109320
EP300	ENSG00000146674
ELK1	ENSG00000145604
ETS1	ENSG00000108821
REST	ENSG00000128564
TBP	ENSG00000171791
CTCF	ENSG00000008300
NFYA	ENSG00000175197
HSF1	ENSG00000149212
MEF2C	ENSG00000166484
NFATC1	ENSG00000111537
ETS1	ENSG00000167034
STAT3	ENSG00000167085
ARID3A	ENSG00000140464
KLF5	ENSG00000147883
ESRRA	ENSG00000124216
CTCF	ENSG00000142192
USF1	ENSG00000143190
RB1	ENSG00000115966
MYB	ENSG00000171791
RUNX3	ENSG00000003402
EGR1	ENSG00000196628
YBX1	ENSG00000112237
EGR1	ENSG00000130513
ETS1	ENSG00000013725
USF1	ENSG00000105329
MYB	ENSG00000182866
NRF1	ENSG00000076351
CTCF	ENSG00000177045
RFX5	ENSG00000196735
STAT1	ENSG00000090339
STAT1	ENSG00000124762
BRCA1	ENSG00000176692
CEBPB	ENSG00000171105
IRF4	ENSG00000104921
RUNX3	ENSG00000162734
E2F4	ENSG00000110092
HDAC2	ENSG00000185591
STAT3	ENSG00000110092
YY1	ENSG00000113525
CREM	ENSG00000104368
NRF1	ENSG00000128739
MYB	ENSG00000134184
EGR1	ENSG00000115414
ETS1	ENSG00000163507
CEBPB	ENSG00000070669
HSF1	ENSG00000196371
EP300	ENSG00000173039
HSF1	ENSG00000134333
EGR1	ENSG00000132773
YY1	ENSG00000105497
JUND	ENSG00000124588
RXRA	ENSG00000100385
YY1	ENSG00000160791
STAT3	ENSG00000111424
ESRRA	ENSG00000132676
EGR1	ENSG00000100393
EGR1	ENSG00000112245
PAX5	ENSG00000057657
USF1	ENSG00000109320
RUNX3	ENSG00000013725
STAT3	ENSG00000117335
RUNX3	ENSG00000142330
STAT1	ENSG00000164733
USF1	ENSG00000164733
YY1	ENSG00000134982
STAT3	ENSG00000184557
JUND	ENSG00000011422
HSF1	ENSG00000197548
STAT1	ENSG00000163823
ETS1	ENSG00000117298
ETS1	ENSG00000015285
MAX	ENSG00000115758
STAT1	ENSG00000168610
YY1	ENSG00000196712
NRF1	ENSG00000111775
TAF1	ENSG00000112592
EP300	ENSG00000110092
USF1	ENSG00000100345
ESRRA	ENSG00000146278
EZH2	ENSG00000110092
USF1	ENSG00000155380
JUND	ENSG00000105329
YBX1	ENSG00000101773
NRF1	ENSG00000115339
JUNB	ENSG00000181019
IRF5	ENSG00000196923
ETS1	ENSG00000118513
E2F4	ENSG00000065328
JUNB	ENSG00000147889
EZH2	ENSG00000116478
E2F4	ENSG00000012048
PAX5	ENSG00000171791
STAT3	ENSG00000181104
JUND	ENSG00000124762
NFYB	ENSG00000118046
USF1	ENSG00000111537
HDAC2	ENSG00000105173
USF1	ENSG00000173638
EGR1	ENSG00000166886
ARID3A	ENSG00000094804
EGR1	ENSG00000136244
RB1	ENSG00000132646
RFX5	ENSG00000204287
BRCA1	ENSG00000096717
CUX1	ENSG00000114346
ATF2	ENSG00000124762
IRF4	ENSG00000156738
YY1	ENSG00000171720
EGR1	ENSG00000100644
MYB	ENSG00000150593
HDGF	ENSG00000026025
E2F4	ENSG00000163781
RUNX3	ENSG00000101384
GABPA	ENSG00000180914
EGR1	ENSG00000104921
STAT3	ENSG00000118971
YY1	ENSG00000204287
USF1	ENSG00000122884
RB1	ENSG00000185591
CEBPB	ENSG00000171552
HSF1	ENSG00000171428
SIN3A	ENSG00000101412
RB1	ENSG00000228716
YBX1	ENSG00000100526
USF2	ENSG00000197081
ETS1	ENSG00000124762
YY1	ENSG00000128908
HDAC2	ENSG00000121858
CTCF	ENSG00000113916
USF1	ENSG00000185339
TBX21	ENSG00000107485
YY1	ENSG00000134899
YY1	ENSG00000132646
NFYB	ENSG00000111276
YBX1	ENSG00000108576
PAX5	ENSG00000110092
MAFK	ENSG00000181019
MYB	ENSG00000104432
BRCA1	ENSG00000164109
STAT1	ENSG00000171132
USF2	ENSG00000105329
STAT5A	ENSG00000147883
EP300	ENSG00000012048
ZNF24	ENSG00000112715
ARNT	ENSG00000134107
NFYA	ENSG00000116717
EZH2	ENSG00000012048
ELF1	ENSG00000151702
STAT3	ENSG00000089685
EZH2	ENSG00000089157
ARID3A	ENSG00000170312
YY1	ENSG00000117228
TRIM22	ENSG00000109320
E2F8	ENSG00000101412
CTCF	ENSG00000164362
HDAC2	ENSG00000017427
ETS1	ENSG00000164733
TBX21	ENSG00000111537
STAT1	ENSG00000185499
ETS1	ENSG00000120738
EGR1	ENSG00000143801
TBP	ENSG00000124762
MEF2A	ENSG00000068305
KLF5	ENSG00000150907
NFYB	ENSG00000129245
MEF2C	ENSG00000112715
YY1	ENSG00000196591
HSF1	ENSG00000122008
SRF	ENSG00000100281
USF2	ENSG00000162896
BRCA1	ENSG00000066279
EP300	ENSG00000005339
ATF7	ENSG00000120656
ATF2	ENSG00000164867
MTA3	ENSG00000124216
STAT5A	ENSG00000118046
NRF1	ENSG00000126432
ATF2	ENSG00000111537
NRF1	ENSG00000121966
ARNT	ENSG00000138061
E2F4	ENSG00000051180
IRF3	ENSG00000185129
E2F4	ENSG00000242265
EZH2	ENSG00000020633
STAT3	ENSG00000239672
EGR1	ENSG00000102755
RB1	ENSG00000197442
YY1	ENSG00000017260
HCFC1	ENSG00000132763
HDAC2	ENSG00000039068
CTCF	ENSG00000103479
RUNX3	ENSG00000136997
CTCF	ENSG00000104936
MEF2C	ENSG00000123358
USF2	ENSG00000100345
USF1	ENSG00000182197
EP300	ENSG00000124762
EGR1	ENSG00000110092
EP300	ENSG00000157456
YY1	ENSG00000087460
MYB	ENSG00000099326
RB1	ENSG00000198176
TBP	ENSG00000142192
EZH2	ENSG00000124762
STAT5A	ENSG00000110092
ELF1	ENSG00000143995
IRF3	ENSG00000088888
YY1	ENSG00000162616
STAT1	ENSG00000141510
YY1	ENSG00000143870
CEBPB	ENSG00000159176
USF1	ENSG00000164362
ELK1	ENSG00000196371
BRCA1	ENSG00000073282
YY1	ENSG00000044574
SRF	ENSG00000143384
BRCA1	ENSG00000044574
RUNX3	ENSG00000196628
KLF5	ENSG00000169710
STAT1	ENSG00000168394
ATF2	ENSG00000172977
EP300	ENSG00000109320
PKNOX1	ENSG00000111679
EP300	ENSG00000051180
HSF1	ENSG00000006062
NFYA	ENSG00000172845
JUND	ENSG00000104368
YY1	ENSG00000102974
CEBPB	ENSG00000185010
STAT3	ENSG00000171552
BRCA1	ENSG00000138061
NFIC	ENSG00000023330
YBX1	ENSG00000117399
EGR1	ENSG00000085662
ZNF24	ENSG00000168036
STAT3	ENSG00000105397
STAT3	ENSG00000112715
USF1	ENSG00000079385
HDGF	ENSG00000173511
RB1	ENSG00000136997
NFYA	ENSG00000118046
RUNX3	ENSG00000144381
MEF2B	ENSG00000113916
ATF2	ENSG00000104368
MEF2C	ENSG00000169057
CEBPB	ENSG00000130513
USF1	ENSG00000102081
STAT1	ENSG00000137193
CEBPB	ENSG00000130222
ATF2	ENSG00000120129
JUND	ENSG00000113916
CUX1	ENSG00000140718
RUNX3	ENSG00000175104
EP300	ENSG00000130816
E2F4	ENSG00000178999
HDAC2	ENSG00000136826
PKNOX1	ENSG00000102003
STAT3	ENSG00000116016
USF2	ENSG00000117984
YY1	ENSG00000136997
CUX1	ENSG00000161800
EP300	ENSG00000111537
BRCA1	ENSG00000136997
BRCA1	ENSG00000120738
STAT3	ENSG00000175197
EGR1	ENSG00000122861
YY1	ENSG00000141510
EP300	ENSG00000100811
HSF1	ENSG00000004478
HSF1	ENSG00000170315
EZH2	ENSG00000168495
ARNT	ENSG00000104856
HSF1	ENSG00000173039
ELK1	ENSG00000085276
RB1	ENSG00000170312
YBX1	ENSG00000182481
STAT3	ENSG00000049323
NFYA	ENSG00000111276
EGR1	ENSG00000120802
MYB	ENSG00000118513
EP300	ENSG00000112715
STAT3	ENSG00000185499
E2F4	ENSG00000112742
TBP	ENSG00000101412
STAT1	ENSG00000170581
ETS1	ENSG00000153563
BRCA1	ENSG00000140443
EGR1	ENSG00000118971
PAX8	ENSG00000042832
ELK1	ENSG00000112658
YY1	ENSG00000143799
TBX21	ENSG00000186810
NFIC	ENSG00000077235
EGR1	ENSG00000011422
HSF1	ENSG00000170606
EZH2	ENSG00000197380
BRCA1	ENSG00000109321
STAT5A	ENSG00000118971
HDAC2	ENSG00000084774
ATF2	ENSG00000178035
ARNT	ENSG00000117984
YBX1	ENSG00000020426
RFX5	ENSG00000242574
NFATC1	ENSG00000090339
REST	ENSG00000115415
EGR1	ENSG00000108106
USF1	ENSG00000121966
USF2	ENSG00000100644
RXRA	ENSG00000174123
ARNT	ENSG00000140465
EGR1	ENSG00000176749
STAT3	ENSG00000171223
STAT1	ENSG00000101017
JUND	ENSG00000135679
IRF3	ENSG00000128604
RB1	ENSG00000105856
KLF5	ENSG00000134057
SRF	ENSG00000122861
ETS1	ENSG00000161011
STAT3	ENSG00000115415
CBFB	ENSG00000159216
NFIC	ENSG00000061918
NFYA	ENSG00000129245
ETS1	ENSG00000164362
STAT3	ENSG00000113916
RAD51	ENSG00000185591
E2F4	ENSG00000090006
CTCF	ENSG00000196712
PAX5	ENSG00000139687
TBP	ENSG00000170345
YY1	ENSG00000072274
STAT1	ENSG00000073861
EGR1	ENSG00000124762
GABPA	ENSG00000145425
ELK1	ENSG00000132676
EP300	ENSG00000105173
YY1	ENSG00000104381
MAX	ENSG00000136997
NR2F1	ENSG00000117505
STAT3	ENSG00000184500
ESRRA	ENSG00000160113
YY1	ENSG00000101665
BRCA1	ENSG00000100393
EZH2	ENSG00000105173
CEBPB	ENSG00000127554
STAT1	ENSG00000078401
ZNF143	ENSG00000171320
STAT3	ENSG00000140009
CEBPB	ENSG00000136244
STAT3	ENSG00000141510
E4F1	ENSG00000145386
NFIC	ENSG00000140465
CREM	ENSG00000166796
ARNT	ENSG00000100644
ETV6	ENSG00000164109
USF1	ENSG00000166710
SRF	ENSG00000108106
YY1	ENSG00000116731
RELB	ENSG00000101017
YY1	ENSG00000113580
EP300	ENSG00000132274
EZH2	ENSG00000186111
RB1	ENSG00000120690
EGR1	ENSG00000109320
CEBPB	ENSG00000057657
MYB	ENSG00000136997
EGR1	ENSG00000100385
ATF2	ENSG00000110092
BRCA1	ENSG00000117984
KLF5	ENSG00000100644
EP300	ENSG00000086232
USF2	ENSG00000079385
RB1	ENSG00000119772
STAT3	ENSG00000112576
BRCA1	ENSG00000140465
ETS1	ENSG00000152127
MYB	ENSG00000107485
RB1	ENSG00000112242
YY1	ENSG00000172534
YY1	ENSG00000128739
ETS1	ENSG00000137203
SRF	ENSG00000114030
PAX5	ENSG00000171132
USF1	ENSG00000134982
USF2	ENSG00000102081
STAT3	ENSG00000039068
MEF2A	ENSG00000112062
EGR1	ENSG00000130164
ZNF143	ENSG00000156970
SRF	ENSG00000115641
STAT3	ENSG00000137193
BMI1	ENSG00000164362
ETS1	ENSG00000101266
CTCF	ENSG00000214274
NFYA	ENSG00000044574
EP300	ENSG00000017427
E2F4	ENSG00000166803
ETS1	ENSG00000125735
EZH2	ENSG00000141510
YY1	ENSG00000100644
EGR1	ENSG00000111537
ETS1	ENSG00000151702
CTCF	ENSG00000117408
ESRRA	ENSG00000180530
IRF4	ENSG00000113916
RB1	ENSG00000077782
BRCA1	ENSG00000100644
YY1	ENSG00000127184
USF2	ENSG00000168066
STAT3	ENSG00000111679
