PMID	Relationship_Count	Relationships
1310259	1	RARG->RARB(Unknown)
1311316	1	SP1->INSR(Activation)
1313714	1	RARA->ANXA8(Repression)
1317496	1	VDR->CALB1(Activation)
1320003	1	CEBPA->FN1(Unknown)
1321810	1	HNF1A->ALB(Unknown)
1323141	1	WT1->IGF2(Repression)
1324879	1	CREB1->HLA-DQB1(Unknown)
1325459	2	FOS->PCK2(Unknown); JUN->PCK2(Unknown)
1330541	1	YY1->PDIA6(Repression)
1341900	2	SP2->TRA(Unknown); SP3->TRA(Unknown)
1355009	2	RARA->ICAM1(Activation); RARG->ICAM1(Activation)
1356108	1	CREB1->ODC1(Unknown)
1360635	2	FOS->CCK(Activation); JUN->CCK(Activation)
1372388	1	REL->IL6(Repression)
1396593	1	GATA1->GYPB(Activation)
1400310	1	ATF2->TGFB2(Repression)
1409593	6	HIVEP2->HLA-A(Unknown); HIVEP2->HLA-B(Unknown); HIVEP2->HLA-C(Unknown); HIVEP2->HLA-E(Unknown); HIVEP2->HLA-F(Unknown); HIVEP2->HLA-G(Unknown)
1409722	1	ETS1->TRB(Repression)
1423591	1	POU2AF1->IGH(Activation)
1427648	1	SP1->GH2(Unknown)
1429549	1	WT1->PDGFA(Repression)
1429874	1	JUN->MMP3(Activation)
1460048	2	FOS->ACTA1(Unknown); JUN->ACTA1(Unknown)
1505960	1	RFX1->CIITA(Unknown)
1508203	1	REL->IL2RA(Activation)
1508207	2	HSF1->HSPA4(Unknown); HSF2->HSPA4(Unknown)
1527086	2	JUN->MYB(Unknown); JUND->MYB(Unknown)
1530876	1	FOS->NPPA(Unknown)
1531519	1	SRF->CREB1(Repression)
1534305	1	RB1->E2F1(Repression)
1535773	1	ETS1->TRA(Activation)
1562593	1	MYC->HSPA4(Unknown)
1594249	2	MYB->MYC(Activation); MYBL2->MYC(Activation)
1620116	5	NFIL3->AREG(Unknown); NFIL3->EREG(Unknown); NFIL3->HPGD(Unknown); NFIL3->PGR(Unknown); NFIL3->PTGS2(Unknown)
1639815	9	HNF4A->APOA2(Unknown); HNF4A->APOB(Unknown); HNF4A->APOC3(Unknown); NR2F1->APOA2(Unknown); NR2F1->APOB(Unknown); NR2F1->APOC3(Unknown); NR2F6->APOA2(Unknown); NR2F6->APOB(Unknown); NR2F6->APOC3(Unknown)
1656214	1	MYOG->MYEF2(Activation)
1699939	1	NFIB->MBP(Activation)
1702555	1	STAT3->PRDM1(Activation)
1819225	1	SP1->CHGA(Unknown)
1847391	1	CREB1->VIP(Unknown)
1906159	1	EGR3->CAT(Activation)
1909121	1	RB1->FOS(Repression)
1944282	1	MYB->TK1(Activation)
1945412	2	JUN->ETS1(Activation); TFAP2A->ETS1(Activation)
1963081	1	JUN->PLAT(Activation)
1996113	1	RARB->ADH5(Unknown)
2007132	1	POU2F1->HIST2H2BE(Unknown)
2057364	1	SP1->MYC(Unknown)
2111020	2	FOS->NGF(Unknown); JUN->NGF(Unknown)
2145272	1	SP1->ATF2(Unknown)
2200737	1	SRF->FOS(Unknown)
2237431	1	ETS1->TRA(Unknown)
2247079	1	CEBPA->HSPA4(Activation)
2251250	1	SP1->ALOX5(Unknown)
2302733	1	POU2F2->HBB(Unknown)
2336386	2	GATA1->HBG1(Unknown); POU2F1->HBG1(Repression)
2373169	2	SP1->OAT(Unknown); TFAP2A->OAT(Unknown)
2376581	1	SP1->NPY(Unknown)
2405250	1	NFKB1->IL6(Unknown)
2480596	1	THRB->CGA(Repression)
2493627	1	SRF->FOS(Unknown)
2498162	2	FOS->MYC(Repression); JUN->MYC(Repression)
2498646	1	FOS->FOS(Repression)
2543297	1	CREB1->CYP17A1(Unknown)
2566164	2	SP1->GAST(Unknown); TFAP2A->GAST(Unknown)
2577338	1	MYB->ERBB2(Unknown)
2808430	1	SP1->TGFB1(Unknown)
2833511	1	SP1->EGF(Unknown)
2849945	1	SP1->IGFBP1(Unknown)
3012774	1	SP1->HRAS(Unknown)
7479004	1	YY1->PCNA(Unknown)
7479086	3	HMGA1->CXCL1(Unknown); NFKB1->CXCL1(Unknown); SP1->CXCL1(Unknown)
7489414	1	VDR->PTH(Repression)
7495736	4	CIITA->HLA-DMA(Unknown); CIITA->HLA-DMB(Unknown); RFX5->HLA-DMA(Unknown); RFX5->HLA-DMB(Unknown)
7499267	1	RELA->IL6(Activation)
7499271	2	ATF1->FLT1(Unknown); CREB1->FLT1(Unknown)
7499351	1	POU2F1->GATA1(Unknown)
7504695	2	NFIC->COL1A1(Unknown); SP1->COL1A1(Unknown)
7507210	1	POU2F1->VWF(Activation)
7514587	1	AR->KLK3(Unknown)
7523384	1	MYB->CD34(Unknown)
7528667	2	NFKB1->FAS(Unknown); TFAP2A->FAS(Unknown)
7529501	4	POU1F1->GH1(Activation); POU1F1->GHR(Activation); POU1F1->PRL(Activation); POU1F1->TSHB(Activation)
7533661	1	VHL->VEGFA(Activation)
7534297	2	SP1->APEX1(Unknown); USF1->APEX1(Unknown)
7535092	2	WT1->IGF2(Repression); WT1->PDGFA(Repression)
7537848	1	SP1->KRT18(Unknown)
7541912	2	JUN->NFKB2(Unknown); SP1->NFKB2(Unknown)
7549116	1	NF1->AFP(Repression)
7559449	1	NFKB2->SELP(Activation)
7559515	2	EGR1->ACHE(Unknown); TFAP2A->ACHE(Repression)
7559553	2	EGR1->MYB(Repression); WT1->MYB(Repression)
7559606	1	TFAP2A->IGFBP5(Activation)
7559624	2	CEBPB->PTGS2(Unknown); CEBPD->PTGS2(Unknown)
7565732	1	VDR->IL2(Repression)
7565736	2	CEBPA->CSF2RA(Unknown); SPI1->CSF2RA(Unknown)
7565758	1	NFIL3->IFNG(Unknown)
7565760	1	MYB->MZF1(Unknown)
7565762	2	EGR1->ABCB1(Activation); SP1->ABCB1(Activation)
7568086	1	PDX1->INS(Activation)
7580940	1	NF1->SFTPB(Unknown)
7588608	1	ERF->ETS2(Repression)
7590335	1	SP1->COL1A1(Unknown)
7592648	2	EGR1->SYN2(Unknown); ETV4->SYN2(Unknown)
7592908	2	SP1->CDKN2B(Unknown); SP3->CDKN2B(Unknown)
7594540	1	CEBPB->IL4(Activation)
7606736	1	IRF1->IFNA1(Unknown)
7607503	2	YY1->SURF1(Activation); YY1->SURF2(Activation)
7608142	1	MYC->CCNA2(Unknown)
7608249	2	POU1F1->GH1(Unknown); POU1F1->GH2(Activation)
7623820	2	NFKB1->IL2(Activation); RELA->IL2(Activation)
7624145	1	SPI1->FES(Unknown)
7629508	1	POU2F2->HLA-DRA(Unknown)
7635140	1	CEBPB->CYP19A1(Unknown)
7640286	1	SP1->APOC3(Unknown)
7642615	3	JUN->CSF1(Activation); JUN->IL2(Repression); JUN->IL3(Activation)
7642633	2	ATF1->USP7(Unknown); SP1->USP7(Unknown)
7651394	3	ILF3->HLA-DQA1(Unknown); ILF3->HLA-DRA(Unknown); ILF3->HLA-DRB1(Unknown)
7655015	1	MYB->MYB(Unknown)
7659086	1	CEBPA->IGF2(Unknown)
7659529	2	GATA1->EPOR(Unknown); SP1->EPOR(Unknown)
7677767	1	NR5A1->NR0B1(Unknown)
7678251	4	NFKB1->ITGAX(Unknown); RELA->ITGAX(Unknown); SP1->ITGAX(Unknown); SPI1->ITGAX(Unknown)
7680889	3	RB1->FOS(Unknown); RB1->MYC(Unknown); RB1->TGFBI(Unknown)
7684229	1	HNF1A->IGFBP1(Activation)
7693011	1	FOS->CCK(Unknown)
7697714	2	ATRX->HBA1(Repression); ATRX->HBA2(Repression)
7699330	1	SEC14L2->PSMB9(Unknown)
7702750	3	RB1->ATF2(Unknown); RB1->ELF1(Unknown); RB1->SP1(Unknown)
7706261	2	RELA->GTF2B(Activation); RELA->TBP(Activation)
7708053	1	CEBPA->IGF1(Activation)
7723729	1	HNF1A->CYP1A2(Unknown)
7730325	1	NFIC->MATN1(Repression)
7731694	2	ETS1->ERG(Activation); ETS2->ERG(Activation)
7733919	1	FOS->NTF3(Unknown)
7739559	1	TFAP2A->CCNB1(Unknown)
7753560	1	TP53->CDKN1A(Activation)
7759501	2	CREB1->IFNG(Unknown); JUN->IFNG(Unknown)
7760814	1	MAZ->CD4(Unknown)
7760825	1	CREM->CCNA1(Unknown)
7777517	1	SPI1->MSR1(Unknown)
7779811	1	SP1->HIST2H4A(Activation)
7789992	1	NR5A1->CYP2B6(Unknown)
7791790	1	GATA4->IL5(Activation)
7791794	5	ATF1->NTS(Unknown); CREB1->NTS(Unknown); FOS->NTS(Unknown); JUN->NTS(Unknown); JUND->NTS(Unknown)
7794935	1	TFAP2A->NR3C1(Activation)
7848925	1	ETS1->MYB(Activation)
7852331	2	USF1->PKLR(Unknown); USF2->PKLR(Unknown)
7860222	3	NFKB1->MMP9(Unknown); RELA->MMP9(Unknown); SP1->MMP9(Unknown)
7867724	1	ETS2->CDK1(Unknown)
7876096	2	USF1->CEACAM5(Activation); USF2->CEACAM5(Activation)
7876106	1	CEBPB->TNFAIP6(Activation)
7876168	6	NFKB1->CXCL8(Activation); NFKB1->IL6(Activation); NFKB1->TNF(Activation); RELA->CXCL8(Activation); RELA->IL6(Activation); RELA->TNF(Activation)
7876544	1	ETS1->IL2(Repression)
7877625	2	POU1F1->GH1(Unknown); POU1F1->PRL(Unknown)
7880838	2	ENO1->MYC(Unknown); TBP->MYC(Unknown)
7896265	2	BCL3->NFKB1(Unknown); BCL3->RELA(Unknown)
7896795	2	ETV4->TNF(Unknown); JUN->TNF(Unknown)
7896827	3	EGR1->IMPDH2(Unknown); SP1->IMPDH2(Unknown); TFAP2A->IMPDH2(Unknown)
7914192	4	ELF1->ERBB2(Unknown); ELK1->ERBB2(Unknown); ETV4->ERBB2(Unknown); GABPA->ERBB2(Unknown)
7923112	2	MYCN->ABCB1(Repression); MYCN->ABCC1(Activation)
7926763	1	HOXD9->HOXD9(Activation)
7929376	2	USF1->CD2(Activation); USF2->CD2(Activation)
7930616	1	IRF2->IL4(Unknown)
7935377	1	CEBPB->TNFAIP6(Unknown)
7935445	1	ETS1->SLC26A3(Activation)
7935470	2	ATF3->PENK(Unknown); JUN->PENK(Unknown)
7957556	1	NFKB1->IL2(Activation)
7958836	1	E2F1->E2F1(Unknown)
7958954	1	TBP->PPBP(Unknown)
7961760	2	FOXA2->APOA1(Unknown); HNF4A->APOA1(Unknown)
7964503	4	ETS1->CSF3R(Activation); ETS2->CSF3R(Activation); MYB->CSF3R(Repression); SPI1->CSF3R(Activation)
7970721	3	ETS1->LCK(Activation); ETS2->LCK(Activation); MYB->LCK(Activation)
7983788	1	SP1->INSR(Unknown)
8004128	2	FOS->NQO1(Unknown); JUN->NQO1(Unknown)
8007948	2	SPI1->SCARB1(Unknown); SPI1->SCARB2(Unknown)
8015372	3	JUN->APP(Unknown); SP1->APP(Unknown); TBP->APP(Unknown)
8016102	3	NFKB1->HMOX1(Unknown); RELA->HMOX1(Unknown); TFAP2A->HMOX1(Unknown)
8021262	2	IRF1->IFNB1(Activation); IRF2->IFNB1(Activation)
8021507	1	RELA->IL1B(Activation)
8035474	2	NFKB1->IFNA1(Activation); RELA->IFNA1(Activation)
8035792	2	EGR1->IL3(Activation); VEZF1->IL3(Activation)
8036020	2	FOS->NPY(Unknown); JUN->NPY(Unknown)
8055899	1	SP1->SPN(Activation)
8055923	3	HNF4A->CEACAM1(Activation); USF1->CEACAM1(Activation); USF2->CEACAM1(Activation)
8058326	1	GATA1->TAL1(Unknown)
8063775	2	ETS1->PTHLH(Activation); SP1->PTHLH(Activation)
8065304	1	NKX2-1->SFTPB(Activation)
8071351	1	PAX8->NCAM1(Activation)
8075306	1	CEBPA->F9(Activation)
8089148	2	HIF1A->EPO(Activation); HIF1A->PGK1(Activation)
8093246	1	CEBPB->PCK2(Activation)
8095266	1	SPI1->ITGAM(Activation)
8103518	1	SP1->ABCB1(Unknown)
8114740	2	HSF1->HSPA4(Activation); HSF2->HSPA4(Activation)
8114743	2	ETS2->MSR1(Activation); JUN->MSR1(Activation)
8119988	1	TP53->RB1(Unknown)
8127716	1	SP1->ADA(Unknown)
8132514	1	SP1->ODC1(Unknown)
8132667	1	CEBPB->FURIN(Activation)
8137237	2	E2F1->CCND1(Unknown); E2F1->MYB(Unknown)
8164652	2	NFKB1->CD74(Unknown); RELA->CD74(Unknown)
8180132	2	FOS->NEFL(Activation); JUN->NEFL(Activation)
8188699	1	POU1F1->INSM1(Unknown)
8195167	1	EGR1->SYN1(Activation)
8196642	1	MYC->CCND1(Repression)
8206526	6	MYC->HLA-A(Activation); MYC->HLA-B(Activation); MYC->HLA-C(Activation); MYC->HLA-E(Activation); MYC->HLA-F(Activation); MYC->HLA-G(Activation)
8206588	1	ETV4->AGTR1(Activation)
8206948	2	FOS->GSTP1(Unknown); JUN->GSTP1(Unknown)
8219230	2	NFKB1->TNF(Activation); RELA->TNF(Activation)
8223441	2	RB1->TFDP1(Repression); RBL1->TFDP1(Repression)
8244997	2	CEBPB->SAA2(Activation); RELA->SAA2(Activation)
8247540	1	ETV4->ETS1(Activation)
8262968	2	MAX->ODC1(Activation); MYC->ODC1(Activation)
