18776923	BRCA1	HSPA5	Repression	CaOV-3, SKOV-3, MDA-MB-231, MCF-7, T47D	WB, RT-PCR,siRNA knockdown, Overexpression, Luciferase reporter
18776923	BRCA1	GRP94	Repression	CaOV-3, SKOV-3, MDA-MB-231	WB, siRNA KD
18776923	BRCA1	CHOP	Repression	CaOV-3, SKOV-3, MDA-MB-231	WB, siRNA KD
16488890	USF1	P4HA1	Activation	HeLa cells	ChIP, RT-PCR, luciferase reporter assay, 
16488890	USF2	P4HA1	Activation	HeLa cells	luciferase reporter assay, ChIP, siRNA Transfection, RT-PCR
15908194	CEBPZ	SOX9	Unknown	HTB94	EMSA, ChIP,  Luciferase reporter assay
15908194	SOX9	COL2A1	Activation	-	citation
15908194	L-Sox5	COL2A1	Activation	-	citation
15908194	Sox6	COL2A1	Activation	-	citation
15908194	Sox9	COL11A2	Unknown	-	citation
15908194	Sox9	ACAN	Unknown	-	citation
15908194	Sox9	COL9A1	Unknown	-	citation
15908194	NF-κB	Sox9	Unknown	-	citation
15908194	CEBPZ	TOP2A	Unknown	-	citation
15908194	CEBPZ	TK1	Unknown	-	citation
15908194	CEBPZ	E2F1	Unknown	-	citation
15908194	CEBPZ	CDC25C	Unknown		citation
11013233	MAFK	NQO1	Repression	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFK-MAFK, Nrf2-MAFK
11013233	MAFG	NQO1	Repression	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFG-MAFG, Nrf2-MAFK
11013233	MAFK	GSTA1	Repression	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFK-MAFK, Nrf2-MAFK
11013233	MAFG	GSTA1	Repression	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFG-MAFG, Nrf2-MAFK
11013233	Nrf1	NQO1	Activation	-	citation
11013233	Nrf2	NQO1	Activation	-	citation
11013233	Nrf1	GSTA1	Activation	-	citation
11013233	Nrf2	GSTA1	Activation	-	citation
11013233	Nrf1	HMOX1	Activation	-	citation
11013233	Nrf2	HMOX1	Activation	-	citation	
11013233	Nrf1	GCLC	Activation	-	citation
11013233	Nrf2	GCLC	Activation	-	citation	
11013233	MAFK	GCLC	Repression	-	citation	MAFK-MAFK
11013233	MAFG	GCLC	Repression	-	citation	MAFG-MAFG
11013233	MAFK	HBB	Activation	-	citation	MAFK-p45
11013233	MAFG	HBB	Activation	-	citation	MAFG-p45
11013233	MAFK	HBB	Repression	-	citation	MAFK-MAFK
11013233	MAFG	HBB	Repression	-	citation	MAFG-MAFG
18625744	CTCF	CCND1	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR, immunoFISH
18625744	Oct2	CCND1	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
18625744	Sp1	CCND1	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
18625744	NPM1	CCND1	Unknown	HBL-2 MCL cell line, Granta, MCF7, NCEB, K562	ChIP, WB, RT-PCR, immunoFISH, shRNA KD, TUNEL assay, IF
18625744	CTCF	IgH	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
18625744	Oct2	IgH	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
18625744	Sp1	IgH	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
18625744	NPM1	IgH	Unknown	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
15184388	USF2	THBS1	Activation	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis
15184388	USF2	TGFB1	Activation	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis
