PMID	TF	ENSG	CellLine	Assay	complex
18776923	BRCA1	ENSG00000044574	CaOV-3, SKOV-3, MDA-MB-231, MCF-7, T47D	WB, RT-PCR,siRNA knockdown, Overexpression, Luciferase reporter	
18776923	BRCA1	ENSG00000166598	CaOV-3, SKOV-3, MDA-MB-231	WB, siRNA KD	
18776923	BRCA1	ENSG00000175197	CaOV-3, SKOV-3, MDA-MB-231	WB, siRNA KD	
16488890	USF1	ENSG00000122884	HeLa cells	ChIP, RT-PCR, luciferase reporter assay,	
16488890	USF2	ENSG00000122884	HeLa cells	luciferase reporter assay, ChIP, siRNA Transfection, RT-PCR	
15908194	CEBPZ	ENSG00000125398	HTB94	EMSA, ChIP,  Luciferase reporter assay	
15908194	SOX9	ENSG00000139219	-	citation	
15908194	SOX5	ENSG00000139219	-	citation	
15908194	SOX6	ENSG00000139219	-	citation	
15908194	SOX9	ENSG00000204248	-	citation	
15908194	SOX9	ENSG00000157766	-	citation	
15908194	SOX9	ENSG00000112280	-	citation	
15908194	NFKB1	ENSG00000125398	-	citation	
15908194	CEBPZ	ENSG00000131747	-	citation	
15908194	CEBPZ	ENSG00000167900	-	citation	
15908194	CEBPZ	ENSG00000101412	-	citation	
15908194	CEBPZ	ENSG00000158402		citation	
11013233	MAFK	ENSG00000181019	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFK-MAFK, Nrf2-MAFK
11013233	MAFG	ENSG00000181019	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFG-MAFG, Nrf2-MAFK
11013233	MAFK	ENSG00000243955	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFK-MAFK, Nrf2-MAFK
11013233	MAFG	ENSG00000243955	Hep-G2	luciferase reporter assay, Gel Shift/Supershift Assays	MAFG-MAFG, Nrf2-MAFK
11013233	NFE2L1	ENSG00000181019	-	citation	
11013233	NFE2L2	ENSG00000181019	-	citation	
11013233	NFE2L1	ENSG00000243955	-	citation	
11013233	NFE2L2	ENSG00000243955	-	citation	
11013233	NFE2L1	ENSG00000100292	-	citation	
11013233	NFE2L2	ENSG00000100292	-	citation	
11013233	NFE2L1	ENSG00000001084	-	citation	
11013233	NFE2L2	ENSG00000001084	-	citation	
11013233	MAFK	ENSG00000001084	-	citation	MAFK-MAFK
11013233	MAFG	ENSG00000001084	-	citation	MAFG-MAFG
11013233	MAFK	ENSG00000244734	-	citation	MAFK-p45
11013233	MAFG	ENSG00000244734	-	citation	MAFG-p45
11013233	MAFK	ENSG00000244734	-	citation	MAFK-MAFK
11013233	MAFG	ENSG00000244734	-	citation	MAFG-MAFG
18625744	CTCF	ENSG00000110092	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR, immunoFISH	
18625744	POU2F2	ENSG00000110092	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR	
18625744	SP1	ENSG00000110092	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR	
18625744	NPM1	ENSG00000110092	HBL-2 MCL cell line, Granta, MCF7, NCEB, K562	ChIP, WB, RT-PCR, immunoFISH, shRNA KD, TUNEL assay, IF	
18625744	CTCF	ENSG00000102974	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR    
18625744	POU2F2	ENSG00000142611	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR    
18625744	SP1	ENSG00000185591	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR    
18625744	NPM1	ENSG00000181163	HBL-2 MCL cell line, Granta	ChIP, WB, RT-PCR
15184388	USF2	ENSG00000137801	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis	
15184388	USF2	ENSG00000105329	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis	
15184388	USF1	ENSG00000105329	-	citation, and isn't found in this essay	
15184388	USF1	ENSG00000137801	RMCs（tr/cd），MLECs-clone 32	luciferase reporter assay（MLECs-clone 32），EMSA，ChIP, WB, Site-directed Mutagenesis	
10978529	NFIC	ENSG00000106628	COS-7	不建议使用这一篇，方法不对	
16595680	KLF5	ENSG00000089685	EU cellline from BCP-ALL patients	EMSA, ChIP, siRNA knockdown, Co-IP, Northern blog, WB	
16595680	SP1	ENSG00000089685	Hela cellline	citation	
16595680	TP53	ENSG00000089685	-	citation	
16595680	TCF7L2	ENSG00000089685	-	citation	
16595680	KLF4	ENSG00000124762	-	citation	KLF4-p53
16595680	KLF6	ENSG00000140443	-	citation	KLF6-p53
16595680	TP53	ENSG00000124762	-	citation	KLF4-p53
16595680	TP53	ENSG00000140443	-	citation	KLF6-p53
15195143	E2F4	ENSG00000065328	HCT116	luciferase reporter assay, RT-PCR, ChIP	
15195143	E2F4	ENSG00000163781	HCT116	luciferase reporter assay, RT-PCR, ChIP	
15195143	E2F1	ENSG00000065328	HCT116	luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB	
15195143	E2F2	ENSG00000065328	HCT116	luciferase reporter assay, Site-directed Mutagenesis	
15195143	E2F3	ENSG00000065328	HCT116	luciferase reporter assay, Site-directed Mutagenesis	
15195143	E2F1	ENSG00000163781	HCT116	luciferase reporter assay, Site-directed Mutagenesis, ChIP, RT-PCR, WB	
15195143	E2F2	ENSG00000163781	HCT116	luciferase reporter assay, Site-directed Mutagenesis	
15195143	E2F3	ENSG00000163781	HCT116	luciferase reporter assay, Site-directed Mutagenesis	
11706010	CTCF	ENSG00000142192	HeLa, COS-1	Immunodepletion, Mobility Shift Electrophoresis, In Vitro Transcription, in vivo competition	
17204573	STAT3	ENSG00000170345	primary cells from vastus lateralis	citation, RT-qPCR	
17204573	STAT3	ENSG00000171223	primary cells from vastus lateralis	citation, RT-qPCR	
17204573	STAT3	ENSG00000136997	primary cells from vastus lateralis	citation, RT-qPCR	
17204573	STAT3	ENSG00000110092	-	citation	
17204573	STAT3	ENSG00000171791	-	citation	
17204573	STAT3	ENSG00000171552	-	citation	
17204573	STAT3	ENSG00000112715	-primary cells from vastus lateralis	citation, RT-qPCR	
19043455	CEBPB	ENSG00000171552	MCF10A	RT-PCR, WB, Luciferase reporter assay, EMSA, ChIP, Site-directed mutagenesis, Overexpression	
17932312	EGR1	ENSG00000121858	HUVEC	citation	
15688019	RUNX3	ENSG00000159216	DG75, Akata31, IB4, LCL-C	EMSA, RPA, Luciferase reporter assay, WB	
15688019	RUNX3	ENSG00000020633	-	citation	
14642566	NFIC	ENSG00000123415	Hela, 18Co	luciferase reporter assay, Northern Blog, EMSA, DNase I footprint, site-directed mutagenesis	
19290488	RUNX3	ENSG00000164305	AGS, SNU1, primary cells from the representative cancerous lesions and from adjacent noncancerous tissues	TUNEL assay, WB	
19290488	RUNX3	ENSG00000124762	-	citation	
19290488	RUNX3	ENSG00000110092	-	citation	
10082553	UBTF	ENSG00000108312	HeLa	Co-IP, In vitro transcription, DNase I footprint assay, SDS-PAGE	
10211993	ETS1	ENSG00000122861	Glioma cells	antisense knockdown, casein zymography	
15178343	ARNT	ENSG00000269858	primary human smooth muscle cells, HCT116	luciferase reporter assay, ChIP(HCT116), RT-PCR	
15735663	ATF7	ENSG00000145386	-	citation	
10453008	CEBPA	ENSG00000100368	U937	(maybe) EMSA, site-directed mutagenesis	
10453008	CEBPB	ENSG00000100368	U937	(maybe) EMSA, site-directed mutagenesis	
10453008	CEBPE	ENSG00000100368	HL-60	(maybe) EMSA, site-directed mutagenesis	
10453008	SPI1	ENSG00000100368	-	(maybe) citation	
